"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4703","has title","chromium","2026-02-03","passed","2026-02-03","","signUp.spec.ts","",""
"","1265","POST /users/register - register a new user","chromium","2026-02-03","passed","2026-02-03","","api.spec.ts","",""
"","930","GET test cases page","webkit","2026-02-03","passed","2026-02-03","","api.spec.ts","",""
"","4968","get started","chromium","2026-02-03","passed","2026-02-03","","signUp.spec.ts","",""
"","6282","codegen test","chromium","2026-02-03","passed","2026-02-03","","codegen.spec.ts","",""
"","1022","POST /users/register - register a new user","webkit","2026-02-03","passed","2026-02-03","","api.spec.ts","",""
"","12350","codegen test","webkit","2026-02-03","passed","2026-02-03","","codegen.spec.ts","",""
"","4983","has title","webkit","2026-02-03","passed","2026-02-03","","signUp.spec.ts","",""
"","6223","get started","webkit","2026-02-03","passed","2026-02-03","","signUp.spec.ts","",""
"","10817","codegen test","firefox","2026-02-03","passed","2026-02-03","","codegen.spec.ts","",""
"","804","GET test cases page","chromium","2026-02-03","passed","2026-02-03","","api.spec.ts","",""
"","9779","get started","firefox","2026-02-03","passed","2026-02-03","","signUp.spec.ts","",""
"","1189","POST /users/register - register a new user","firefox","2026-02-03","passed","2026-02-03","","api.spec.ts","",""
"","8331","has title","firefox","2026-02-03","passed","2026-02-03","","signUp.spec.ts","",""
"","881","GET test cases page","firefox","2026-02-03","passed","2026-02-03","","api.spec.ts","",""
"","7831","Login","firefox","2026-02-03","passed","2026-02-03","","login.spec.ts","",""
"","5222","Login","webkit","2026-02-03","passed","2026-02-03","","login.spec.ts","",""
"","3964","Login","chromium","2026-02-03","passed","2026-02-03","","login.spec.ts","",""
