"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1353","has title","chromium","2026-02-03","passed","2026-02-03","","signUp.spec.ts","",""
"","2317","Login","firefox","2026-02-03","passed","2026-02-03","","login.spec.ts","",""
"","1608","has title","firefox","2026-02-03","passed","2026-02-03","","signUp.spec.ts","",""
"","11996","codegen test","webkit","2026-02-03","passed","2026-02-03","","codegen.spec.ts","",""
"","2296","get started","firefox","2026-02-03","passed","2026-02-03","","signUp.spec.ts","",""
"","99","GET test cases page","webkit","2026-02-03","passed","2026-02-03","","api.spec.ts","",""
"","1759","Login","chromium","2026-02-03","passed","2026-02-03","","login.spec.ts","",""
"","2169","has title","webkit","2026-02-03","passed","2026-02-03","","signUp.spec.ts","",""
"","546","POST /users/register - register a new user","webkit","2026-02-03","passed","2026-02-03","","api.spec.ts","",""
"","1899","get started","chromium","2026-02-03","passed","2026-02-03","","signUp.spec.ts","",""
"","2447","codegen test","chromium","2026-02-03","passed","2026-02-03","","codegen.spec.ts","",""
"","539","POST /users/register - register a new user","firefox","2026-02-03","passed","2026-02-03","","api.spec.ts","",""
"","79","GET test cases page","firefox","2026-02-03","passed","2026-02-03","","api.spec.ts","",""
"","3633","get started","webkit","2026-02-03","passed","2026-02-03","","signUp.spec.ts","",""
"","3406","codegen test","firefox","2026-02-03","passed","2026-02-03","","codegen.spec.ts","",""
"","556","POST /users/register - register a new user","chromium","2026-02-03","passed","2026-02-03","","api.spec.ts","",""
"","4366","Login","webkit","2026-02-03","passed","2026-02-03","","login.spec.ts","",""
"","290","GET test cases page","chromium","2026-02-03","passed","2026-02-03","","api.spec.ts","",""
